property_id,host_id
39246,25533
29794,24536
26452,18190
27339,20314
45991,25294
29088,25294
33337,15144
34953,842
39591,14149
43529,28821
26652,15351
26308,2708
10325,8723
25968,23878
32036,34519
13312,34519
40428,24040
18561,8510
23208,11505
27589,17409
42629,21065
40479,21065
8483,37063
37145,784
23620,19924
40939,11773
1114,14623
38633,18896
12384,11024
2527,3455
9542,13769
1558,5686
38755,30539
6392,34753
37195,25356
23689,25356
35465,2333
31405,2333
13416,13570
40205,18643
37926,7326
47219,18942
1591,10680
47606,36794
37683,34543
1099,5937
33156,26678
44326,6594
25384,14409
5168,22559
34519,22559
19670,12878
12982,22617
42329,28803
36842,808
5103,808
23699,6067
7527,6067
3810,6067
5993,23307
24919,36809
4581,28360
19180,14667
30340,6029
4784,46
13576,46
35350,24597
19133,24597
684,24597
35229,3587
9073,25099
32223,27938
40068,27532
47042,27532
4054,11220
14493,24351
32894,24351
30115,29717
3441,12817
6033,1352
15626,22971
7623,22971
22289,22971
24449,13163
4692,25788
36311,23059
48339,14310
1774,14310
29348,10009
31806,35640
11156,1498
43882,9707
18585,35897
3348,75
5298,18446
31310,28116
26819,14861
186,2264
6997,34465
39402,34558
35639,34558
29625,2352
15836,18362
5683,18362
2086,29263
4285,29263
14175,4690
40033,36803
20594,16870
37086,5323
33065,3177
4880,2012
13371,1199
6490,21847
37214,21991
37383,21991
26495,21991
20272,21991
34178,6353
28892,16708
1756,31647
13678,31647
4380,31647
28140,8427
46707,27259
1530,25471
22853,548
18478,29386
2771,10581
31785,10581
40287,11786
30584,11786
16716,29423
15927,1518
40852,21133
26623,22061
29293,30590
28282,22384
19589,32432
26075,13363
12884,20532
35765,31264
11267,31107
41471,31107
23590,35996
29723,6553
36545,4253
5791,4253
29970,20844
3345,24420
9552,1366
8902,14141
7771,14141
38762,16139
29575,31646
5618,14139
5096,16051
27785,24794
36886,11427
26260,33425
37487,3106
2009,3106
8956,36285
19650,36285
12779,17801
11925,17801
23531,17801
7681,9879
4641,2640
29556,2640
43800,18587
12219,18587
45956,18587
25725,18587
44921,18587
45295,18587
17421,22613
38568,31825
45096,30146
3723,9965
27512,12857
43813,4345
18356,6202
1624,36780
38461,28612
32028,28612
10094,28612
29078,6305
5936,25213
30397,25213
6101,27859
3709,30795
40261,21946
32528,21946
1318,17494
11861,17494
8804,24226
47929,18787
46242,35891
32869,35891
11388,7337
46181,36559
32971,36559
9006,36559
15207,30100
37109,18068
39995,6335
35284,6335
46796,24433
19949,9681
16075,12062
38048,10102
17732,14957
31720,16538
11092,12293
23108,12293
26628,2444
37538,2444
23756,2444
19494,35567
7499,29077
1265,16318
3513,10903
46863,10903
24512,10903
38366,10903
28722,10903
30986,10903
13784,10903
6062,10903
13674,10903
8276,10903
41918,10903
32296,10903
9921,10903
37072,10903
42448,10903
24515,10903
20306,10903
40648,24997
16380,14468
32030,25024
8354,25024
14427,25097
43055,20792
14160,10915
39737,3037
18775,31901
9955,19197
16796,11851
23436,264
14686,353
17059,6518
137,17353
32994,21282
16382,18914
11199,37064
9895,9780
37480,27945
34784,36043
13057,19906
29130,4153
39018,1639
9092,34365
44355,30912
13158,30912
2730,20152
13542,8408
36119,23640
29343,22849
15543,3027
23211,4523
2378,4523
25382,5915
28484,2376
