review_id,number_of_reviews,last_review,reviews_per_month
1,45,5/21/2019,0.38
3,270,7/5/2019,4.64
4,9,11/19/2018,0.1
5,74,6/22/2019,0.59
9,160,6/9/2019,1.33
4705,60,6/25/2019,1.0
10,53,6/22/2019,0.43
191,151,6/22/2019,1.43
14,27,10/31/2018,0.22
15,148,6/29/2019,1.2
16,198,6/28/2019,1.72
18,53,6/22/2019,4.44
2,0,,
20,9,12/28/2011,0.07
24,88,6/19/2019,0.73
345,75,6/23/2019,0.76
35898,15,6/7/2019,1.56
27,58,8/13/2017,0.49
353,1,1/3/2012,0.01
29,29,4/19/2019,0.24
37,231,6/22/2019,1.96
94,118,6/18/2019,1.05
41,15,5/27/2019,0.39
44,97,6/13/2019,0.84
45,11,6/5/2019,0.49
47,61,5/25/2019,0.52
48,11,1/1/2017,0.1
700,4,8/28/2017,0.05
51,73,7/7/2019,0.63
52,82,5/17/2019,0.7
53,328,6/29/2019,2.82
54,19,3/25/2019,0.22
55,105,6/22/2019,0.9
59,21,6/29/2019,0.3
61,66,3/30/2019,0.57
1747,1,9/30/2017,0.05
62,143,1/26/2019,1.33
8686,5,8/21/2018,0.1
65,4,9/24/2017,0.16
67,148,6/23/2019,1.4
69,190,6/23/2019,1.64
70,49,5/14/2018,0.43
74,21,1/2/2019,0.2
80,54,3/23/2019,0.49
81,70,6/30/2019,0.62
82,16,6/15/2019,0.15
84,25,8/4/2016,0.24
85,61,8/9/2018,0.53
90,166,6/27/2019,3.4
547,58,6/4/2019,0.61
30767,69,6/30/2019,4.52
92,21,5/21/2019,0.3
93,168,7/22/2018,1.57
95,81,7/7/2019,0.71
98,139,10/28/2018,1.23
105,162,6/28/2019,1.46
100,233,6/24/2019,2.09
167,150,6/18/2019,1.4
14954,5,5/8/2019,0.13
102,46,5/18/2019,0.55
104,88,11/2/2018,0.79
106,29,5/26/2018,0.4
108,19,3/17/2017,0.2
111,12,12/11/2017,0.13
112,467,12/30/2018,4.22
34903,1,5/24/2019,0.64
113,7,8/9/2017,0.06
117,115,6/7/2019,1.05
302,48,6/16/2019,0.48
114,38,12/2/2015,0.38
115,324,6/23/2019,3.01
116,27,4/27/2019,0.27
318,398,6/28/2019,3.97
40186,16,7/1/2019,3.75
119,195,7/1/2019,2.03
120,16,12/30/2018,0.24
1011,145,6/22/2019,1.76
121,13,6/26/2019,0.12
122,25,12/10/2011,0.23
125,21,8/15/2017,0.19
128,155,6/20/2019,1.42
176,80,5/26/2019,0.75
239,135,6/20/2019,1.3
130,73,6/25/2019,0.66
132,32,6/14/2019,0.29
134,26,7/1/2019,0.25
137,227,6/23/2019,2.09
143,124,6/20/2019,1.72
139,3,7/30/2017,0.03
140,10,6/11/2018,0.1
141,4,4/24/2016,0.04
144,11,7/2/2019,0.11
145,240,6/17/2019,2.19
146,30,6/17/2019,0.28
37269,21,6/30/2019,2.7
152,4,8/27/2018,0.05
154,134,3/31/2019,1.24
155,27,12/27/2018,0.25
156,126,6/26/2019,1.16
888,102,6/28/2019,1.15
157,23,12/31/2018,0.27
158,234,6/8/2019,2.6
910,16,6/16/2019,0.19
161,309,6/22/2019,2.86
260,248,6/25/2019,2.39
163,4,9/23/2016,0.08
164,80,7/6/2019,2.17
165,2,11/2/2015,0.04
171,193,7/6/2016,1.78
173,114,6/20/2019,1.06
175,86,6/1/2019,0.8
177,38,4/20/2016,0.36
178,18,12/17/2018,1.79
180,10,5/12/2019,0.11
198,33,5/9/2015,0.31
200,38,4/27/2019,0.38
228,1,9/17/2012,0.01
182,33,4/8/2019,0.58
183,52,6/5/2019,0.5
344,218,6/28/2019,2.26
384,225,6/24/2019,2.27
597,234,6/30/2019,2.47
187,30,9/3/2012,0.29
188,3,7/17/2015,0.03
189,41,6/26/2019,0.38
190,109,6/15/2019,1.04
196,10,7/1/2019,1.01
201,358,6/20/2019,3.44
1374,25,11/21/2017,0.3
205,104,6/22/2019,1.0
399,116,6/13/2019,1.18
208,253,7/2/2019,3.04
211,129,5/19/2019,1.22
214,204,7/1/2019,2.04
215,69,6/13/2019,0.65
217,17,6/17/2019,0.16
218,222,6/24/2019,2.12
219,205,6/23/2019,1.96
220,94,6/9/2019,0.96
221,7,5/24/2019,0.07
222,108,6/30/2019,1.09
223,222,6/26/2019,2.1
8311,116,6/29/2019,2.36
227,41,1/2/2019,0.39
229,69,5/19/2019,0.67
230,18,7/1/2019,0.18
32538,5,6/16/2019,0.48
231,82,1/5/2016,0.78
232,94,6/23/2019,0.99
233,10,5/11/2019,0.1
234,183,9/29/2018,1.83
608,115,6/30/2019,1.21
237,127,6/20/2019,1.22
238,4,8/25/2017,0.04
240,21,12/12/2015,0.2
241,35,7/27/2017,0.34
244,238,6/14/2019,2.3
245,56,5/26/2019,0.58
246,111,6/22/2019,2.13
250,185,5/24/2019,1.78
261,143,6/19/2019,1.38
251,62,6/21/2019,0.7
472,3,5/13/2018,0.04
252,124,6/16/2019,1.22
369,248,6/20/2019,2.53
561,228,4/25/2018,2.39
255,441,6/24/2019,4.5
5401,19,7/1/2019,0.35
6461,15,6/23/2019,0.49
259,38,6/27/2019,0.5
6851,11,5/19/2019,0.29
6852,15,6/2/2019,1.08
8261,6,6/30/2019,0.18
18741,2,5/21/2019,0.18
270,1,1/2/2019,0.16
272,210,7/6/2019,2.1
275,5,1/3/2019,0.15
276,49,6/29/2019,0.48
277,132,7/7/2019,1.27
279,11,5/2/2013,0.11
280,51,7/1/2019,0.57
341,11,1/14/2019,0.11
366,15,1/5/2019,0.16
18627,19,6/18/2019,0.56
282,67,6/25/2019,1.31
379,52,6/8/2019,0.6
501,6,6/28/2019,0.06
284,9,2/16/2019,0.11
285,187,6/23/2019,1.87
286,214,6/23/2019,2.08
4605,16,7/5/2019,0.27
287,69,7/1/2019,0.79
2147,41,5/27/2019,0.59
288,22,6/15/2019,0.26
289,56,5/6/2019,0.56
293,127,6/24/2019,1.25
772,63,6/18/2019,0.72
294,30,6/13/2019,0.32
295,106,6/27/2019,1.34
14627,125,7/1/2019,3.32
30679,52,6/29/2019,3.58
297,191,6/20/2019,1.88
298,48,6/11/2019,0.55
303,32,5/24/2019,0.43
1026,50,6/30/2019,0.87
304,43,6/17/2019,0.42
305,39,6/25/2019,0.44
306,50,5/13/2014,0.5
307,4,1/2/2019,0.35
308,38,2/15/2019,0.39
310,59,6/23/2019,0.6
311,68,6/7/2019,0.67
312,26,11/25/2015,0.27
36658,13,6/17/2019,2.48
41374,2,5/30/2019,0.6
313,31,8/22/2012,0.31
314,198,5/31/2019,2.01
317,286,6/27/2019,2.81
649,34,4/22/2019,0.37
664,33,6/24/2019,0.47
665,24,11/6/2018,0.32
666,59,6/24/2019,0.66
670,24,4/25/2019,0.26
671,23,6/22/2019,0.26
672,43,7/2/2019,0.47
673,30,7/3/2019,0.32
674,39,6/29/2019,0.44
818,43,6/22/2019,0.49
820,75,6/5/2019,0.93
822,73,6/30/2019,0.84
823,89,7/1/2019,1.06
824,23,4/23/2019,0.26
827,54,6/10/2019,0.61
1582,50,7/2/2019,0.67
1583,116,6/28/2019,1.56
321,6,2/5/2016,0.1
322,14,4/20/2019,0.3
327,34,9/25/2018,0.51
950,23,4/30/2019,0.67
330,80,6/30/2019,0.85
331,240,6/6/2019,2.4
332,46,7/2/2019,1.07
333,228,6/10/2019,2.27
334,5,9/3/2018,0.05
335,8,8/26/2018,0.11
336,33,1/2/2019,0.33
338,5,7/22/2018,0.05
339,388,6/26/2019,3.88
342,151,6/24/2019,1.51
348,370,7/5/2019,3.74
349,104,6/21/2019,1.04
350,13,7/18/2016,0.13
351,4,12/26/2018,0.07
354,19,6/11/2018,0.19
356,15,5/1/2019,0.15
359,98,6/28/2019,0.99
361,45,1/1/2018,0.46
362,124,6/26/2019,1.76
364,166,5/27/2019,1.68
920,265,6/24/2019,2.99
368,86,6/16/2019,0.87
370,49,6/19/2019,0.56
371,54,7/3/2019,0.57
372,3,1/1/2013,0.03
374,56,12/28/2018,0.57
378,27,5/19/2019,0.28
3257,31,6/17/2019,0.52
380,39,9/24/2018,0.4
382,320,6/23/2019,3.23
383,30,6/16/2019,0.32
385,95,5/26/2018,0.96
386,70,6/28/2019,0.75
389,50,7/2/2019,0.51
390,29,6/23/2019,0.31
391,23,5/2/2016,0.23
392,142,6/16/2019,1.44
393,70,7/1/2019,0.73
2402,68,6/26/2019,0.97
396,403,7/7/2019,4.1
462,280,7/5/2019,2.92
1291,214,7/6/2019,2.53
398,3,8/4/2014,0.03
400,175,7/7/2019,1.79
401,28,7/1/2019,1.21
25397,97,7/6/2019,4.42
402,24,12/26/2017,0.25
403,15,6/6/2016,0.15
405,22,5/30/2019,0.38
407,86,6/20/2019,0.91
408,10,1/1/2017,0.1
409,18,5/27/2019,0.21
410,8,7/8/2018,0.21
411,70,1/31/2019,0.73
412,150,7/5/2019,1.55
414,69,5/26/2019,0.71
415,232,6/22/2019,2.41
416,35,1/13/2018,0.41
417,18,10/1/2013,0.21
418,68,6/10/2019,0.69
419,22,11/10/2014,0.23
420,17,5/18/2019,0.17
422,8,6/6/2014,0.08
424,2,7/6/2018,0.08
425,52,4/27/2019,0.72
426,74,6/16/2019,0.76
22233,14,4/17/2019,0.55
427,18,5/31/2013,0.19
428,72,5/11/2019,0.86
429,191,6/29/2019,2.18
431,197,6/23/2019,2.49
432,19,7/6/2019,0.2
433,414,7/3/2019,4.34
2177,39,6/5/2019,0.58
438,203,7/6/2019,2.14
440,104,6/16/2019,1.09
443,39,5/2/2019,0.5
444,88,6/16/2019,0.91
446,117,6/29/2019,1.28
575,8,10/14/2017,0.09
448,4,3/13/2015,0.05
449,385,6/29/2019,4.0
453,10,1/1/2019,0.12
454,103,6/24/2019,1.08
457,227,6/26/2019,2.33
458,37,12/27/2018,0.79
459,29,6/28/2019,0.35
1049,5,1/9/2016,0.06
461,42,6/3/2019,0.44
465,7,8/29/2018,0.07
468,188,8/23/2018,1.94
471,6,8/8/2015,0.06
473,2,8/31/2014,0.03
475,129,6/7/2019,1.33
476,147,6/30/2019,1.6
477,101,7/1/2019,1.06
478,11,1/2/2016,0.12
479,11,10/15/2013,0.12
481,87,4/18/2017,1.09
483,86,5/16/2019,0.89
485,15,2/15/2016,0.16
492,105,6/23/2019,1.13
493,11,10/28/2018,0.46
494,31,10/23/2018,0.32
496,23,4/13/2019,0.24
497,20,6/24/2019,0.21
27402,30,6/17/2019,1.52
498,18,6/24/2019,0.9
499,90,6/23/2019,0.95
502,21,12/1/2018,0.22
503,24,4/4/2019,0.26
570,24,3/31/2019,0.25
1177,24,4/30/2019,0.29
1884,15,4/30/2019,0.19
6825,15,12/4/2018,0.29
17773,6,6/19/2019,0.17
18480,7,4/4/2019,0.23
504,111,6/2/2019,1.17
506,66,4/29/2019,0.69
507,271,6/20/2019,2.84
511,187,6/10/2019,1.97
868,39,6/9/2019,0.47
512,2,8/28/2015,0.02
513,1,1/1/2016,0.02
514,67,10/20/2018,0.7
515,63,1/12/2018,0.68
518,177,6/29/2019,1.86
519,90,6/30/2019,0.94
520,39,7/7/2019,0.41
521,42,5/18/2019,0.44
522,33,5/8/2019,0.35
523,179,5/29/2019,2.02
3524,34,11/21/2016,0.52
528,23,5/21/2018,0.27
534,83,6/23/2019,1.19
536,15,6/14/2015,0.16
537,122,6/23/2019,1.29
539,207,7/7/2019,2.18
14055,62,5/27/2019,1.51
