property_id,location_id
21988,0
21191,10274
8995,13471
24545,13575
19678,13847
22457,21389
36542,22551
14825,2
7513,6
14018,7
39051,8
25626,39
4566,5709
18512,11
2338,12
23391,35
46197,13
29664,17
33888,1223
47535,21
18802,22
3593,23
38851,474
13809,585
326,1763
16414,25
35270,26
2439,28
47735,38211
7278,30
13706,33
38720,99
12526,31
44306,32
21719,58
33013,463
3148,34
20719,127
41028,36
19173,38
46490,40
36699,271
33240,42
38629,43
17117,46
46551,49
28181,50
45660,450
30616,451
36241,56
8154,57
26038,109
8116,60
27875,63
23962,6982
47437,64
43319,66
16901,3887
12759,68
35259,17489
15839,71
40010,72
28499,3539
36106,73
46266,75
21089,76
34199,77
42222,78
40899,79
43776,88
45695,147
24054,4058
4650,83
13329,86
29110,87
14224,89
40609,91
1825,110
8418,890
35424,2045
1361,96
15020,97
42243,619
19627,101
42318,2861
43837,103
22135,107
30078,172
42645,118
40139,123
46969,124
26626,126
42701,129
43959,131
29400,133
12700,24788
16647,26074
14054,135
40586,136
2675,166
45030,1062
47919,138
36487,352
28005,142
40048,148
46997,1760
21866,1797
10599,22759
46812,149
20969,150
21429,151
36196,153
32384,159
30231,212
8611,160
22689,162
1529,168
11919,169
16049,170
9208,206
6349,6344
18898,174
47377,375
32679,179
4237,486
40751,199
5361,181
17801,466
48554,184
14653,185
21159,204
38480,1351
15113,186
29906,192
42324,842
8054,193
12162,194
24210,195
47251,1483
36774,197
45274,202
11615,203
40335,216
5034,235
13354,437
13993,207
4567,209
13252,210
14925,213
32955,224
25573,1111
31547,225
47610,226
24206,236
7475,242
38573,1576
10694,243
29240,662
27237,247
4019,248
31122,249
29888,254
20349,30732
3925,40017
20153,253
44427,316
30714,256
1130,395
1064,257
42693,13132
31558,258
14439,5399
30089,5798
27000,33273
47893,33277
46664,3013
25800,5544
2653,5557
44958,10069
11174,10070
23525,39986
4150,40494
16537,262
37944,267
21381,1321
856,13158
45430,263
44018,898
23715,264
9741,966
47663,20088
10382,45667
21815,266
47789,268
18180,269
4557,376
22000,273
39514,274
8294,278
44389,281
5648,7184
14883,283
16434,290
688,291
47827,3337
21821,292
37030,296
41196,299
24691,300
33717,301
8446,21864
12242,309
31883,315
977,319
10172,325
38790,326
15101,328
2982,337
26737,363
10434,675
23610,676
42414,677
273,678
33636,680
19834,320
35616,323
11869,826
31486,1715
40835,1896
36621,4642
18323,5484
14438,324
31534,329
32064,340
31616,549
9520,17335
45755,346
43117,355
37633,5124
29450,357
12786,358
17506,360
29032,365
43980,367
5024,3630
10743,373
16169,377
24782,381
23843,387
46006,388
37909,535
47695,14034
27062,394
24193,397
39776,24905
84,404
41515,406
29518,2246
35493,593
26614,413
5261,421
9760,434
38470,1563
30910,2094
29927,436
30521,952
37563,953
18341,439
41732,455
44207,467
36353,441
25231,442
15889,858
18174,859
29610,445
17318,653
14952,1752
14259,15851
29918,447
8472,452
41948,456
5979,460
26168,988
29247,489
34905,464
45749,469
4369,470
20873,487
11145,480
20683,32419
22695,482
45341,40021
24361,1325
2839,488
33279,2298
41197,490
37499,491
11224,495
11176,9880
17383,500
45212,1836
2377,1717
27344,508
5544,509
46244,510
4128,516
21249,517
38494,524
15265,525
22877,13130
18348,526
16821,527
33458,1161
45476,529
7655,530
33973,531
33883,532
4249,533
33949,538
14533,2190
8396,540
24076,541
5122,542
40056,545
31549,580
10092,548
43987,550
13140,552
34494,554
14972,607
1179,35984
35777,560
36086,563
44483,566
32190,567
40493,568
39479,569
38808,592
25915,10024
10098,1701
41085,31231
20650,573
47446,578
25987,579
17478,582
6103,584
25175,2017
26183,588
25862,589
38752,594
21420,634
3694,637
18167,3841
34304,4253
40024,4325
10795,7708
41272,10586
21233,26389
24438,601
1104,603
10046,604
5977,21649
46061,25316
26358,609
10968,610
41584,614
21736,615
17920,617
42288,1495
47154,3178
46611,631
19063,633
45500,641
12267,642
20664,5828
1808,645
37472,652
8437,655
2832,657
25936,660
46760,661
32745,667
8892,669
40394,679
16846,1050
1702,1051
18658,683
17435,38594
36332,44095
26190,688
31289,690
34546,718
15558,691
23854,2196
33765,694
21006,696
39361,698
12203,704
1679,705
43524,709
734,712
36124,25843
16486,714
3012,716
32063,762
39936,717
642,729
11502,730
14650,731
11029,732
24577,733
20243,23875
34484,737
4854,738
12986,739
29466,19241
47211,740
46097,1204
43659,741
13084,8685
24645,29590
46136,743
4630,744
48130,746
6741,747
44952,751
7656,753
48114,755
16234,756
47122,763
34623,4290
29435,5975
19385,766
8571,767
48442,769
41076,776
24611,779
20296,781
24431,782
44198,2021
25401,787
1119,17713
28415,789
15329,791
14270,793
44035,806
22113,812
33311,814
38441,828
40474,829
27645,12470
15587,832
25668,2286
11912,833
36990,1692
1324,834
34496,835
44051,1065
12179,1084
10715,836
44814,1542
26621,837
12573,838
12957,840
18648,1124
42013,1180
5941,5565
12339,841
17692,846
8807,847
31265,853
27387,854
11996,855
6729,856
46835,857
5881,860
6801,863
32408,864
10549,865
35563,867
14771,871
36584,873
29640,885
10701,874
8003,1058
46809,875
29729,882
12830,970
22739,883
10777,886
32279,899
18278,1001
36009,900
48369,3548
40317,902
12177,906
5449,908
6285,913
9131,912
358,914
40015,915
16338,916
12428,918
30985,921
38393,926
35704,1256
8761,1538
15686,927
7444,41932
33345,43590
18634,45443
17491,45662
25269,47709
19051,930
13473,933
45034,934
32965,986
14458,935
43721,936
16431,14158
33540,15675
24695,937
2297,938
34485,940
37133,941
29865,942
46879,945
27080,947
32071,954
39014,955
13410,957
19148,958
13493,961
34765,963
11317,971
2476,964
39341,5512
42240,967
35649,969
21286,974
34790,976
41669,979
18464,984
8890,985
27776,998
19940,2347
65,994
10034,2510
21104,2702
19614,2892
10998,2894
15157,2901
42175,26122
41848,26960
47080,1005
46275,15885
27220,1012
45017,1016
33932,1018
35490,1023
42402,2221
1040,1024
11805,1032
9989,1036
3400,1037
15711,21534
26111,1038
38428,1156
1615,1046
25426,1048
39025,1052
33314,2535
13154,1053
38824,1054
30371,1056
40259,1479
30179,1618
47799,1059
9656,1066
33177,1070
45762,17456
15959,1074
19620,1076
30601,35683
47000,1082
30807,25112
44651,36072
13844,1089
14154,1090
28668,1091
14871,1093
2490,3869
39727,4896
8457,5046
39350,1094
30753,1096
34521,1099
32624,1103
30763,1711
13271,1112
14262,1118
17380,1120
42742,1123
41063,1130
8907,1135
2739,1136
34289,1137
25528,1140
47167,1146
23847,1148
13554,1502
25178,1151
19906,1152
7317,1153
43934,1158
41147,1159
20316,1160
12272,1162
25087,1719
44819,2518
15520,9181
15108,34008
12072,1164
27733,1174
7214,1175
19866,1176
24993,2099
28659,1179
30305,8987
12042,1199
30675,1201
697,1206
85,1207
25011,1208
48517,1210
16615,1217
30465,1218
20716,1221
15544,4343
9739,1226
11498,1228
44944,1232
41219,23441
26975,42823
34629,1239
12029,1241
45544,1764
1472,21452
34239,1247
43672,1253
6533,1255
33085,1257
2715,2192
27092,1262
2574,1265
26515,1273
35438,1275
33760,1283
40896,1285
38771,1489
21225,3281
12665,1286
11751,1287
8548,1294
12932,1808
31881,5818
11842,1295
36298,1296
44711,5833
42008,8086
10644,8087
26202,33496
1893,33606
1927,33819
25364,34400
3337,1299
16879,1300
41695,1305
21217,1306
38457,1308
6006,1309
5532,1311
2929,1313
48077,1314
13014,1317
34210,1322
29445,1328
12322,1329
23228,1330
2316,1333
22781,1337
37386,1338
44656,1342
24097,1343
34114,1345
15234,1355
30983,1368
38789,1356
23478,1361
29916,1369
23862,1372
14988,2580
31508,21052
7627,23510
48036,1377
43440,7702
18985,1378
48396,1737
47624,1380
14009,1381
14586,16402
11366,1394
41535,1395
19483,1397
35532,1696
39598,1398
26298,1402
28847,1404
24767,1405
28007,1408
40990,1412
37787,1413
15651,1417
16671,1418
35910,1419
35420,16353
2324,1421
17931,1422
26986,1423
17812,2183
41148,1424
38222,1426
39637,1427
20770,1428
38306,20025
41951,1432
37116,1436
20850,1449
13233,1452
38381,8325
40831,1456
8736,1457
36449,1458
19455,1461
27857,1465
36673,1470
8637,1471
24915,1474
490,2140
45475,1473
34119,1492
44279,1475
34369,1480
5594,1481
3260,1482
23264,1485
45589,1486
17982,1487
27523,1490
42618,1496
45622,1499
28603,1500
1207,1503
46322,26185
6358,1511
34413,1513
763,1517
45824,1521
37701,1522
43757,1525
39548,1526
19651,3589
37260,8555
35142,1528
6890,1529
6451,2679
15285,9906
23670,1533
14057,7923
27924,1534
11150,12201
11123,1540
28373,1552
4045,1545
23829,1546
11939,37170
13240,1547
2996,1553
33483,1555
32124,1558
25775,1572
8990,1560
11612,17521
3821,1561
40127,1688
14845,11352
6167,1565
39706,1567
45897,1570
44956,1580
35360,6052
43423,1584
28145,4509
31519,1586
18159,1587
24884,1588
14944,1590
14554,1592
5332,1594
36700,7323
34070,1596
4987,1600
2780,4074
32448,19957
32644,1601
12415,1743
6133,2761
39826,1602
36291,1606
38338,1607
42602,1614
8898,1623
14341,1624
22651,1625
14190,1626
29907,1629
12229,1631
24885,1633
24094,4088
26888,39289
42180,39292
28961,1637
38271,1643
34729,1645
5905,1647
27667,4315
17971,4817
9786,4818
43298,5180
15529,5224
195,5775
40754,5776
5242,6127
4708,6276
29469,7846
11160,10464
10128,12455
30998,12832
31382,17984
34986,19263
42059,22405
26234,32024
88,1650
585,1655
17078,1659
13301,1660
38934,3840
39348,8416
27741,1662
7093,1664
18398,2678
43670,1663
28117,1668
9553,14004
12620,1669
10860,9249
9086,1674
31977,1675
27903,2176
12913,16585
47557,36744
29819,36745
37986,1679
47459,1680
30325,1689
45606,1690
45389,1691
10400,1693
3004,1694
23958,1700
43548,1930
5065,1706
43507,1710
4166,1714
42373,1725
37919,1727
5171,1729
18230,14878
21232,1735
8644,1740
11313,1742
16179,1744
48058,1748
45433,1750
24653,8031
17629,1769
18335,1771
30577,1774
27640,1776
14626,1777
48073,3288
5455,1778
7175,15312
33354,1781
47860,1782
26197,1785
3913,1786
45377,1792
32768,1794
46449,1800
4657,1802
40584,1810
18571,1812
46168,1886
41435,1907
27087,1909
19219,1814
3775,1815
10600,1817
25974,1819
28116,1816
22608,1820
38084,1822
46374,1980
34537,17579
38562,1824
15999,1827
34236,1828
22039,1829
30365,1830
36877,1831
25344,1832
21153,1833
23861,1838
38814,1839
30870,1840
44140,1841
12346,32808
30058,1842
43504,22005
39242,1843
26935,1845
22340,2058
10470,2086
22045,1849
25221,1850
1350,1852
14802,1855
25099,1856
1751,1954
3064,1857
1395,1865
23994,3104
36027,21541
41531,1870
38173,1871
41517,1877
34062,1878
3661,2487
25497,1881
13148,1887
44529,1892
36538,1897
8414,1898
15647,1899
18045,1901
33455,1908
26729,5631
6998,40622
12048,1910
41823,1916
42487,35830
42091,1923
16518,4333
19282,1927
36138,1932
15875,2897
45567,1933
32941,1934
7864,1935
2731,38332
11818,1937
44880,1939
19113,11041
27324,1940
26456,2330
46631,2368
7632,2415
9825,3216
28077,1943
47986,1945
8281,2969
43285,1949
8035,1950
24447,1951
10521,2060
21255,1952
7662,1953
9464,1955
40854,1957
29510,1971
8864,1958
1321,1959
8341,1962
48336,2014
19162,1963
29465,1966
7749,1975
20780,1976
18416,15610
28623,1978
10602,1979
9204,1983
41699,1989
23028,2121
28899,2250
11985,7753
6326,1990
11539,1993
42649,2006
23339,2007
36457,1998
40530,1999
41782,2003
4259,2010
17085,4842
33505,2012
9320,2013
10245,2285
43917,2895
31270,2019
31219,2024
43704,2025
42130,2077
31860,2163
126,2026
24570,2027
45939,2031
39307,2037
44038,2038
28664,3865
10880,2044
23034,2694
24075,2046
42549,2766
41387,2048
12395,2049
22112,2050
13196,2051
11736,2053
30267,2054
18579,2056
33271,2068
2048,2069
31541,2070
29012,2080
34260,2731
144,3000
25990,2084
11453,24824
24188,2087
35274,2089
36926,2090
11072,2092
17062,2098
37135,6100
40991,6486
47342,2106
508,2115
15939,18310
45552,2120
25298,2825
9038,2122
44590,2132
39512,2134
46167,2141
32636,2143
47674,2145
39367,2146
12778,2854
12341,8694
19418,2152
18207,9018
43914,14305
38640,2156
36112,2159
23139,2462
62,2161
32507,27941
31876,2162
19812,2164
3123,4770
15316,2165
31215,2167
34447,2168
16360,2171
38681,4984
27797,2173
15640,2174
9513,2178
45688,6233
9081,6727
35522,3890
28926,2185
32436,2195
27971,2198
15552,2201
10473,2203
32407,12846
44770,19779
18871,2205
46169,5178
15055,2207
45026,2589
7081,14502
39672,17710
10556,2213
25705,4092
12134,4530
1700,2215
35512,2217
42555,2438
10424,2218
45200,2219
24548,2224
31603,34894
25799,2226
45163,2227
24354,2231
27179,7726
8555,2236
