location_id,neighbourhood_group,neighbourhood,latitude,longitude
0,Brooklyn,Kensington,40.64749,-73.97237
10274,Brooklyn,Bensonhurst,40.60951,-73.97622
13471,Brooklyn,Gravesend,40.60755,-73.9741
13575,Brooklyn,Gravesend,40.6081,-73.97541
13847,Brooklyn,Bensonhurst,40.60951,-73.97642
21389,Brooklyn,Bensonhurst,40.60877,-73.97382
22551,Manhattan,Midtown,40.75358,-73.9919
2,Manhattan,Harlem,40.80902,-73.9419
6,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
7,Manhattan,Hell's Kitchen,40.76489,-73.98493
8,Manhattan,Upper West Side,40.80178,-73.96723
39,Manhattan,Lower East Side,40.71401,-73.98917
5709,Manhattan,Lower East Side,40.71329,-73.99047
11,Manhattan,Hell's Kitchen,40.76076,-73.98867
12,Brooklyn,South Slope,40.66829,-73.98779
35,Brooklyn,South Slope,40.66869,-73.9878
13,Manhattan,Upper West Side,40.79826,-73.96113
17,Manhattan,Chelsea,40.74192,-73.99501
1223,Brooklyn,Sunset Park,40.66119,-73.98822
21,Brooklyn,Park Slope,40.68069,-73.97706
22,Brooklyn,Park Slope,40.67989,-73.97798
23,Brooklyn,Park Slope,40.68001,-73.97865
474,Brooklyn,Park Slope,40.6788,-73.97643
585,Brooklyn,Park Slope,40.68012,-73.97847
1763,Brooklyn,Park Slope,40.68015,-73.978
25,Brooklyn,Windsor Terrace,40.65599,-73.97519
26,Manhattan,Inwood,40.86754,-73.92639
28,Manhattan,Inwood,40.86482,-73.92106
38211,Manhattan,Inwood,40.86328,-73.92184
30,Manhattan,Harlem,40.82245,-73.95104
33,Manhattan,Harlem,40.8213,-73.95318
99,Manhattan,Harlem,40.82279,-73.95139
31,Manhattan,Harlem,40.81305,-73.95466
32,Brooklyn,Greenpoint,40.72219,-73.93762
58,Brooklyn,Greenpoint,40.72401,-73.93788
463,Brooklyn,Greenpoint,40.72185,-73.93956
34,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473
