property_id,name,room_type,price,minimum_nights,availability_365,available_since_date
21988,Clean & quiet apt home by the park,Private room,149,1,365,2019-06-18
21191,Riomaggiore Room. Queen Bedroom in Bklyn Townhouse,Private room,99,1,153,2019-05-27
8995,Torre del Lago Room.,Private room,79,1,174,2019-01-22
24545,Cinque Terre Room.  Clean and Quiet Queen Bedroom,Private room,149,1,180,2019-06-19
19678,"La Spezia room.  Clean, quiet and comfortable bed",Shared room,79,1,180,2019-05-19
22457,Brooklyn home.  Comfort and clean. Liguria room.,Private room,49,1,360,2019-01-07
36542,Midtown Sanctuary,Shared room,99,1,365,2019-04-08
14825,THE VILLAGE OF HARLEM....NEW YORK !,Private room,150,3,365,2019-06-24
7513,BlissArtsSpace!,Private room,60,45,0,2019-06-16
14018,Large Furnished Room Near B'way ,Private room,79,2,220,2019-02-23
39051,Cozy Clean Guest Room - Family Apt,Private room,79,2,0,2019-03-07
25626,LowerEastSide apt share shortterm 1,Shared room,40,1,188,2019-06-23
4566,LowerEastSide apt share shortterm 3,Shared room,40,1,197,2019-01-05
18512,Central Manhattan/near Broadway,Private room,85,2,39,2019-02-01
2338,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,89,4,314,2019-01-08
23391,"Lovely room 2 & garden; Best area, Legal rental",Private room,89,4,340,2019-04-08
46197,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,85,2,333,2019-01-05
29664,Chelsea Perfect,Private room,140,1,12,2019-04-18
33888,lovely private room in South Park Slope,Private room,36,10,44,2019-04-21
47535,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,130,2,347,2019-01-11
18802,CBG Helps Haiti Room#2.5,Private room,80,1,364,2019-04-20
3593,CBG Helps Haiti Rm #2,Private room,110,2,304,2019-06-22
38851,CBG# 4Tiny room w/ huge window/AC,Private room,60,1,258,2019-04-06
13809,CBG Helps Haiti Rm #3,Private room,120,2,342,2019-02-25
326,CBG HelpsHaiti #5 Suite,Private room,115,2,89,2019-03-22
16414,Sunny Bedroom Across Prospect Park,Private room,60,1,85,2019-03-27
35270,Magnifique Suite au N de Manhattan - vue Cloitres,Private room,80,4,0,2019-01-03
2439,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private room,44,3,311,2019-01-11
47735,"LOVELY, SPACIOUS FURNISHED MANHATTAN BEDROOM",Private room,50,3,96,2019-04-04
7278,front room/double bed,Private room,50,3,355,2019-05-31
13706,back room/bunk beds,Private room,50,3,359,2019-04-04
38720,loft bed - near transportation-15min to times sq,Private room,60,3,219,2019-03-13
12526,Spacious 1 bedroom in luxe building,Private room,52,2,255,2019-05-15
44306,Loft in Williamsburg Area w/ Roof,Private room,55,4,284,2019-02-03
21719,Room in Greenpoint Loft w/ Roof,Private room,49,4,320,2019-02-04
33013,Greenpoint Loft / Le Chez Andrea,Private room,46,4,350,2019-03-01
3148,Large B&B Style rooms,Private room,70,1,269,2019-05-12
20719,B & B Room 1,Private room,70,3,310,2019-06-01
41028,Clean and Quiet in Brooklyn,Private room,35,60,365,2019-01-27
19173,Country space in the city,Private room,150,1,365,2019-03-12
46490,ENJOY Downtown NYC!,Private room,68,2,96,2019-01-04
36699,ENJOY Downtown NYC!!,Private room,68,2,86,2019-01-19
33240,1bdr w private bath. in lofty apt,Private room,120,7,311,2019-01-14
38629,West Side Retreat,Private room,135,4,273,2019-02-10
17117,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private room,130,3,215,2019-05-06
46551,Fort Greene brownstone ,Private room,80,3,192,2019-03-08
28181,Blue Room for 2 in Brownstone for $1350 monthly,Private room,80,1,251,2019-04-19
45660,Purple Room for 2/3 in brownstone $1450 per month,Private room,88,1,238,2019-04-30
30616,Red Room for two in Brownstone for $1355/mo,Private room,80,1,218,2019-04-04
36241,"Great Location, Manhattan Bedroom!",Private room,110,5,301,2019-01-02
8154,Best Location in NYC! TIMES SQUARE!,Private room,69,2,294,2019-01-24
26038,"Times Square, Safe, Clean and Cozy!",Private room,59,2,279,2019-06-13
8116,"Very, very cozy place",Private room,80,2,263,2019-05-29
27875,Double Room w Private Deck Clinton Hill Best Area,Private room,55,7,292,2019-03-19
23962,Large Room In Beautiful Brownstone ,Private room,50,60,210,2019-02-13
47437,Your Heaven in Hells Kitchen,Private room,52,30,191,2019-02-05
43319,"Sunny, Modern room in East Village!",Private room,80,1,72,2019-01-08
16901,"Bright, Modern Room in East Village!",Private room,84,1,59,2019-06-07
12759,Large Room in Amazing East Village Apt,Private room,99,1,336,2019-02-14
35259,Comfy Room in Amazing East Village Apt,Private room,74,1,188,2019-03-16
15839,Cool Room in Hell's Kitchen,Private room,51,7,88,2019-01-19
40010,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,65,2,336,2019-04-13
28499,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,62,2,336,2019-01-29
36106,BLUE TRIM GUEST HOUSE,Private room,105,2,304,2019-04-19
46266,Manhattan Room,Private room,200,1,322,2019-04-17
21089,Little King of Queens,Private room,70,30,324,2019-05-19
34199,Fort Greene Retreat on the Park,Private room,95,3,132,2019-03-21
42222,Beautiful Meatpacking District Loft,Private room,150,3,295,2019-01-13
40899,Cozy 2 BR in Williamsburg ,Private room,145,3,238,2019-01-16
43776,Cozy Bedroom in Williamsburg 3 BR,Private room,85,3,288,2019-05-16
45695,Cozy BR in Wiliamsburg 3 Bedroom,Private room,80,3,262,2019-02-28
24054,Cozy Room in Williamsburg 3BR,Private room,79,22,313,2019-04-07
4650,Private room Great Deal at Lower East Side,Private room,94,30,188,2019-04-20
13329,Oh glorious spring!,Private room,60,3,26,2019-04-30
29110,Great Location for NYC,Private room,50,1,0,2019-06-09
14224,Sunny room+Pvte office in huge loft,Private room,65,4,317,2019-06-12
40609,"Large Parlor Room, Landmark Home 1 block to PRATT",Private room,98,7,185,2019-05-17
1825,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,125,2,250,2019-04-16
8418,"Large Cozy Room #2, Landmark Home 1 Block to PRATT",Private room,180,3,266,2019-01-16
35424,"Large Cozy Room #1, Landmark Home 1 block to PRATT",Private room,98,2,158,2019-06-03
1361,"Upper Manhattan, New York",Private room,89,1,365,2019-02-03
15020,COZY QUIET room 4 DOOGLERS!,Private room,98,30,364,2019-04-18
42243,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,Private room,130,30,332,2019-03-12
19627,Monkey Retreat Manhattan,Private room,65,2,312,2019-01-04
42318,West Village townhouse private suite incl bath,Private room,139,1,32,2019-04-22
43837,"Williamsburg—Steps To Subway, Private Bath&Balcony",Private room,101,3,152,2019-02-27
22135,"1,800 sq foot in luxury building",Private room,100,2,346,2019-04-23
30078,West Inn 2 - East Village,Private room,125,1,310,2019-05-04
42645,Eveland Private Bed & Living Room w/ Own Entrance,Private room,99,2,20,2019-06-05
40139,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Private room,75,2,324,2019-02-02
46969,Modern Apt with Spectacular Views,Private room,90,1,245,2019-03-30
26626,Secluded Master Bedroom in Beautiful Huge Apt,Private room,85,15,307,2019-06-01
42701,Sunny Room in New Condo,Private room,89,3,278,2019-06-14
43959,NYC artists’ loft with roof deck,Private room,50,3,0,2019-01-06
29400,Most Central Location!,Private room,130,2,234,2019-03-28
12700,HEART of MANHATTAN,Private room,130,2,239,2019-06-02
16647,MOST CENTRAL LOCATION,Private room,134,2,316,2019-01-12
14054,Sanctuary in East Flatbush,Private room,77,2,178,2019-03-12
